number,timestamp,values0,values1,values2,values3,values4,values5,univ3_sqrtPriceX96,univ3_liquidity,univ3_feeGrowthGlobal0X128,univ3_feeGrowthGlobal1X128,univ3_observation0_tick_cumulatives,univ3_observation1_tick_cumulatives,_token_ids0,_token_ids1,_blocks_settle0,_blocks_settle1,_sizes_outstanding0,_sizes_outstanding1,_margins_outstanding0,_margins_outstanding1,_debts_outstanding0,_debts_outstanding1,_debts_without_funding_outstanding0,_debts_without_funding_outstanding1,_funding_rates_outstanding0,_funding_rates_outstanding1,_amounts0_locked0,_amounts0_locked1,_amounts1_locked0,_amounts1_locked1,_positions_liquidated_cumulative0,_positions_liquidated_cumulative1,_positions_settled_cumulative0,_positions_settled_cumulative1,_sizes_liquidated_cumulative0,_sizes_liquidated_cumulative1,_sizes_settled_cumulative0,_sizes_settled_cumulative1,_net_liquidity_liquidated_cumulative0,_net_liquidity_liquidated_cumulative1,_net_liquidity_settled_cumulative0,_net_liquidity_settled_cumulative1,_balances_pool0,_balances_pool1,_last_mrglv1_block_timestamp,_last_mrglv1_tick_cumulative,_net_liquidity_swap_fees_cumulative,_net_liquidity_position_fees_cumulative
17998182,1709038715,91287093017493777,1951731676501087337069330357244203,0,91287092917503083,3705687989902,2248795191617769179306,1951547887903112755178138185114353,35557827565478201638,2432047681170979467116623687169630,1175418509761771633483905936855963588514298,14529582399239,14538318510527,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0
18000582,1709038719,68475004162906603,1951315919521865261919248442389315,22822139887433018,91297143950337918,3706885638363,2248563701891981415301,1953738429526773386295287468754520,35784689067328457167,2432072859465672021004592748394404,1175438491648995570934408596179200207680368,14535433055351,14544169859675,1,2,18048582,18048582,256110835132446922916,141329685011,512221670264893865984,282659370022,476275553934,70276607789560536693,476275553934,70276607789560536693,0.0,0.0,307842611296,674486548083,1141960822700135907015,59689831198971417483,0,0,0,0,0,0,0,0,0,0,0,0,3762580529090,2888126289230788761073,1709038718,805007,2575324651291,6740737283430
18002982,1709067656,68475147966897818,1951320017470025747300819660361557,22822139887433018,91297287754328976,3706883692347,2248571965854550716746,1951277657221304708880965090270546,35471699263050322892,2432109667399671847133421655427789,1175455561847477943936557455531495095476882,14541284229191,14550021547607,1,2,18048582,18048582,256110835132446922916,141329685011,512221670264893865984,282659370022,476204121530,70287149544261857861,476275553934,70276607789560536693,-0.00014998125226028947,0.00015000374993756616,307842611296,674486548083,1141960822700135907015,59689831198971417483,0,0,0,0,0,0,0,0,0,0,0,0,3762580529090,2888133372755209782254,1709067654,5852908497,2719128642506,6740737283430
18005382,1709096592,68475451429685726,1951328665176970293068683666522672,22822139887433018,91297591217116551,3706879585789,2248589404954255851949,1950509576223118741680419798201411,42878020797588743964,2432150071796535917529411728009388,1175478404435464591422361544016424414943218,14547143071259,14555880114983,1,2,18048582,18048582,256110835132446922916,141329685011,512221670264893865984,282659370022,476156505879,70294178259216284046,476275553934,70276607789560536693,-0.0002499562574997949,0.0002500187503124973,307842611296,674486548083,1141960822700135907015,59689831198971417483,0,0,0,0,0,0,0,0,0,0,0,0,3762580529090,2888148320831902255814,1709096591,11705214277,3022591430414,6740737283430
18007782,1709125564,68475945791397780,1951342752885186244014848695585474,22822139887433018,91298085578828064,3706872896002,2248617814586607800903,1949275990124840287647359590947252,36506654475763715330,2432207566832535920667757070400483,1175510524553137368268593215144462005870725,14553026088011,14561762213363,1,2,18048582,18048582,256110835132446922916,141329685011,512221670264893865984,282659370022,476085091330,70301207677042205675,476275553934,70276607789560536693,-0.0003999000209580217,0.00035004375218750106,307842611296,674486548083,1141960822700135907015,59689831198971417483,0,0,0,0,0,0,0,0,0,0,0,0,3762580529090,2888172672416775555851,1709125563,17564598618,3516953142468,6740737283430
18010182,1709154656,68476708109429241,1951364476480952510815440418868371,22822139887433018,91298847896858690,3706862580373,2248661623289472367356,1950915884087124134498913661810860,43488052493924806863,2432286949209125884317894476639726,1175562039090152840881743100702664008701385,14558908764563,14567644154171,1,2,18048582,18048582,256110835132446922916,141329685011,512221670264893865984,282659370022,475966090883,70322300148451849855,476275553934,70276607789560536693,-0.0006497563195168032,0.000650178776814947,307842611296,674486548083,1141960822700135907015,59689831198971417483,0,0,0,0,0,0,0,0,0,0,0,0,3762580529090,2888210223509695655786,1709154655,23448281289,4279271173929,6740737283430
18012582,1709183748,68477866626233906,1951397490458996210128305354376786,22822139887433018,91300006413662086,3706846903853,2248728201445210029143,1959023978408104703130121278317270,36199580217954547596,2432383453177942490526669178831488,1175638336940999926213544767906760898983027,14564756515223,14573494006091,1,2,18048582,18048582,256110835132446922916,141329685011,512221670264893865984,282659370022,475823329609,70339882042054066045,476275553934,70276607789560536693,-0.0009495014414757641,0.0009003600840125081,307842611296,674486548083,1141960822700135907015,59689831198971417483,0,0,0,0,0,0,0,0,0,0,0,0,3762580529090,2888267291794252871064,1709183747,29331964078,5437787978594,6740737283430
18014982,1709212673,68479686332403003,1959061580648658327240977112173109,22822139887433018,91301826119829190,3692418854580,2257605049999970547220,1951251220956502685878927661769140,45917776600899080006,2432550819763372577870347005568335,1175723119903629503668502362197129170146373,14570651213507,14579389168955,1,2,18048582,18048582,256110835132446922916,141329685011,512221670264893865984,282659370022,475823329609,70343398948235712164,476275553934,70276607789560536693,-0.0009495014414757641,0.000950403850953796,307842611296,674486548083,1141960822700135907015,59689831198971417483,0,0,0,0,0,0,0,0,0,0,0,0,3751777435670,2894936453939316261874,1709212672,35181872433,7257494147691,6740737283430
18017382,1709241826,68482225462486300,1951335155396366243536545131388382,22822139887433018,91304365249909705,3707142296020,2248763723647156543515,1948962465527460359254253488532541,39411706945123967656,2432691478209896335710443904936908,1175803447792519249216596654103908061766743,14576506081559,14585242632527,1,2,18048582,18048582,256110835132446922916,141329685011,512221670264893865984,282659370022,475561711810,70378577682753194006,476275553934,70276607789560536693,-0.0014988006797823639,0.0014509791579297993,307842611296,674486548083,1141960822700135907015,59689831198971417483,0,0,0,0,0,0,0,0,0,0,0,0,3762846321324,2888320769978986035527,1709241825,41080195406,9796624230988,6740737283430
18019782,1709270774,68485248764726512,1951421301486200107416671063795487,22822139887433018,91307388552146606,3707101389870,2248937465533881277507,1955676195099516695825375303476232,32063617666421085823,2432750404438386436625915817402330,1175853653431843468567817103002989585783948,14582398733327,14591135360663,1,2,18048582,18048582,256110835132446922916,141329685011,512221670264893865984,282659370022,475490386469,70392654102075521472,476275553934,70276607789560536693,-0.0016485571399047494,0.0016512793682712523,307842611296,674486548083,1141960822700135907015,59689831198971417483,0,0,0,0,0,0,0,0,0,0,0,0,3762846321324,2888469696976213534356,1709270773,46934726673,12819926471200,6740737283430
