number,timestamp,values0,values1,values2,values3,values4,values5,univ3_sqrtPriceX96,univ3_liquidity,univ3_feeGrowthGlobal0X128,univ3_feeGrowthGlobal1X128,univ3_observation0_tick_cumulatives,univ3_observation1_tick_cumulatives,_token_ids0,_token_ids1,_blocks_settle0,_blocks_settle1,_sizes_outstanding0,_sizes_outstanding1,_margins_outstanding0,_margins_outstanding1,_debts_outstanding0,_debts_outstanding1,_debts_without_funding_outstanding0,_debts_without_funding_outstanding1,_funding_rates_outstanding0,_funding_rates_outstanding1,_amounts0_locked0,_amounts0_locked1,_amounts1_locked0,_amounts1_locked1,_positions_liquidated_cumulative0,_positions_liquidated_cumulative1,_positions_settled_cumulative0,_positions_settled_cumulative1,_sizes_liquidated_cumulative0,_sizes_liquidated_cumulative1,_sizes_settled_cumulative0,_sizes_settled_cumulative1,_net_liquidity_liquidated_cumulative0,_net_liquidity_liquidated_cumulative1,_net_liquidity_settled_cumulative0,_net_liquidity_settled_cumulative1,_balances_pool0,_balances_pool1,_last_mrglv1_block_timestamp,_last_mrglv1_tick_cumulative,_net_liquidity_swap_fees_cumulative,_net_liquidity_position_fees_cumulative
17998182,1709132812,10226805916623846957733,4168010503442910833875654129,0,10226805916623746957673,194397552620084053872985,538008621233460338723,4168008784382137638332327128,1348756457373625844877604,570639024512524756479330193695958219158,2477424014961457221751563038000658692,-3941441541082,-3943987379302,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0
18000582,1709132816,7670480545305599283587,4167684945538446847935294040,2556722172638830439092,10227202717944329718739,194420281185370240489050,537987471246382048461,4174832966775960060884034990,1348756457373625844877604,570639327264617673436649828969801215945,2477513048009257540405740748182726136,-3943147010170,-3945691155094,1,2,18000582,18000582,22263477407769042444,4610960797143788102297,8905390963107616768,1844384318857515106304,8391674788789819579198,12052247400151771431,8391674788789819579198,12052247400151771431,0.0,0.0,23294141993847013396510,24954432269822013618824,111754047093641729055,37640273539080796264,0,0,0,0,0,0,0,0,0,0,0,0,194065277576750292549332,552889053808695116370,1709132815,-236748,56581701727828008,327866112482406212
18002982,1709161757,7671743108357032106948,4174294781679172358217844118,2557124361810502349484,10228867470167434436214,194144021121885441625043,538928415707234178811,4198939390493444764294405442,1714990638571862423866014,570658465879399887032980861864090502135,2477878238369586338951781150108005425,-3944851090606,-3947392314058,3,4,18002982,18002982,22088128703815798424,4649027646656522095573,8835251481526319104,1859611058662608994304,8460954193972026626971,11957323057353349862,8460954193972026626971,11957323057353349862,0.0,0.0,23486452151495097511556,25160449336477500357765,110873864408767826516,37343816114185486491,0,0,1,1,0,0,22263477407769042444,4610960797143788102297,0,0,1198633654030536914,13308691190156033,194256673089223642688022,552418866153533225809,1709161756,-1704951103,169118441978803342,655783800456837415
18005382,1709190699,7674016991224390500538,4198376616448178832101570112,2557849596070722198845,10231866587295012649839,193087010256905209983513,542196462211057039734,4204231089501474711675342148,1665958413176292228814096,570675376385495023593962909474511058018,2477994083792347252620775575447142277,-3946555969618,-3949094192614,5,6,18005382,18005382,22173160999147279005,4633826309221993981595,8869264399658911744,1853530523688797470720,8433288662704838160317,12003354961604739034,8433288662704838160317,12003354961604739034,0.0,0.0,23409656418832291233053,25078179986962405555056,111300693648553997348,37487577971208548289,0,0,2,2,0,0,44351606111584840868,9259988443800310197870,0,0,3489244467708101718,148365746579253107,193305302979891042832620,555441820910166027480,1709190698,-3408797605,402198056898934784,983794490220120831
18007782,1709219676,7676017233574984938102,4203754707927416441305704707,2558504247849037835701,10234521481423922698299,192890020356531371754284,543031877751476333530,4208681782476437507208844991,1665958413176292228814096,570709890403430358580671263205341205857,2478148622214172689476471354709719748,-3948265357210,-3950802558934,7,8,18007782,18007782,22196999610195352286,4631219485002509458074,8878799844078141440,1852487794001003937792,8428544397454290661365,12016259901509931634,8428544397454290661365,12016259901509931634,0.0,0.0,23396486987081864037016,25064071903791368772192,111420354257403160694,37527881281612756000,0,0,3,3,0,0,66524767110732119873,13893814753022304179465,0,0,5431473897383315784,273708791740247531,193130451189088012334210,556228835767037587430,1709219675,-5111372860,649062953739953161,1311889130494250389
18010182,1709248773,7678090191784849501602,4208206773746425609800362001,2559177856172262336474,10237268047957011735715,192737662432767402199706,543752869900450741120,4194125208690886929324457471,1665550269898520561336106,570800709143671966154249828742951216683,2478216193893981858104267271185643769,-3949973992054,-3952510191202,9,10,18010182,18010182,22228720216066288505,4627046163339705236338,8891488086426515456,1850818465335882022912,8420949199897007792841,12033431728832168182,8420949199897007792841,12033431728832168182,0.0,0.0,23375403756996841966006,25041485966205621023923,111579579432222521170,37581510472593914376,0,0,4,4,0,0,88721766720927472159,18525034238024813637539,0,0,7407355784087748923,404916735774409829,192972756442731857881153,556983133596511096249,1709248772,-6820271280,947993262693959298,1640070152209097859
18012582,1709277870,7680192502626133026767,4193732221126618095050450098,2559862388989444181195,10240054891615477078351,193455540394505205922000,542030091097232817990,4197272968168777322519528257,1665550269898520561336106,570831901999635429584206789050839039040,2478344152465157969355857149810752519,-3951671682526,-3954210228982,11,12,18012582,18012582,22258806876638572132,4623264186863973342158,8903522750655428608,1849305674745589268480,8414066227336752077268,12049719026185578708,8414066227336752077268,12049719026185578708,0.0,0.0,23356297566135811470025,25021017981340483002262,111730602833504494647,37632377195391785815,0,0,5,5,0,0,110950486936993760664,23152080401364518873877,0,0,9376099316572329260,534805607910496366,193471829849925414012496,555893558810392104261,1709277869,-8528529392,1295567033270704199,1968338956286158147
18014982,1709306799,7682061855540531522373,4196825516711023858313105662,2560466858486135454247,10242528714026566822819,193359653929065662344091,542560934124059392385,4221577961572371093672332149,1392940328919116940255812,570859207859482418515937439469701462907,2478735898161695260100353156818835016,-3953384370718,-3955920017722,13,14,18014982,18014982,22212674744838982755,4635054167481046444382,8885069897935593472,1854021666992418455552,8435523291809275644857,12024745575032305650,8435523291809275644857,12024745575032305650,0.0,0.0,23415859443731659895191,25084825132542786485662,111499037371594103240,37554382817960375174,0,0,6,6,0,0,133209293813632332796,27775344588228492216035,0,0,11021564376811841948,618987710874265007,193523545953740768016830,555982878013094924233,1709306798,-10228920242,1699024361937304551,2296685275654903994
18017382,1709335957,7684641786832489911246,4220863310630951686421175861,2561294093752206999046,10245935880584596723175,192322426318122667024037,545850029446922577402,4211552361062848226462862095,1392477604684023838447944,570913554675285335760329719222718508991,2478760330725875755103284326951520706,-3955084126966,-3957617758642,15,16,18017382,18017382,22316603616105552849,4616450146252297867750,8926641446442221568,1846580058500919197696,8401665078134564071959,12081007067591694463,8401665078134564071959,12081007067591694463,0.0,0.0,23321873671302737156963,24984140522951936383741,112020720115093124219,37730092617082626877,0,0,7,7,0,0,155421968558471315551,32410398755709538660417,0,0,13429982315190586058,752888765361998632,192551398027842813951786,559148450441405084389,1709335956,-11942362219,2223043928784310701,2625137677105766654
18019782,1709364910,7686858928364814631132,4211047594352080991937422916,2562026008469666107736,10248884936834380522915,192826203734808619042708,544737387419244762344,4188148351673628035554715093,1391298549348276593337604,571021316932786948267121547348525592725,2478760675564656602647005011231668757,-3956792624854,-3959329412266,17,18,18019782,18019782,22345312634110065850,4613154358457145673641,8938125053644026880,1845261743382858301440,8395666940096399644409,12096548583468519785,8395666940096399644409,12096548583468519785,0.0,0.0,23305223660109939160151,24966303781993133894158,112164828283432054961,37778630195958431439,0,0,8,8,0,0,177738572174576868400,37026848901961836528167,0,0,15380914493611319876,887164237635294983,192894853290410314875463,558506875466204757403,1709364909,-13640428583,2745967134639715915,2953683937026487660
