number,timestamp,values0,values1,values2,values3,values4,values5,univ3_sqrtPriceX96,univ3_liquidity,univ3_feeGrowthGlobal0X128,univ3_feeGrowthGlobal1X128,univ3_observation0_tick_cumulatives,univ3_observation1_tick_cumulatives,_token_ids0,_token_ids1,_blocks_settle0,_blocks_settle1,_sizes_outstanding0,_sizes_outstanding1,_margins_outstanding0,_margins_outstanding1,_debts_outstanding0,_debts_outstanding1,_debts_without_funding_outstanding0,_debts_without_funding_outstanding1,_funding_rates_outstanding0,_funding_rates_outstanding1,_amounts0_locked0,_amounts0_locked1,_amounts1_locked0,_amounts1_locked1,_positions_liquidated_cumulative0,_positions_liquidated_cumulative1,_positions_settled_cumulative0,_positions_settled_cumulative1,_sizes_liquidated_cumulative0,_sizes_liquidated_cumulative1,_sizes_settled_cumulative0,_sizes_settled_cumulative1,_net_liquidity_liquidated_cumulative0,_net_liquidity_liquidated_cumulative1,_net_liquidity_settled_cumulative0,_net_liquidity_settled_cumulative1,_balances_pool0,_balances_pool1,_last_mrglv1_block_timestamp,_last_mrglv1_tick_cumulative,_net_liquidity_swap_fees_cumulative,_net_liquidity_position_fees_cumulative
18654791,1709137056,10226805916623846957721,4301821082038118709878106627,0,10226805916623746957676,188350706761664106204597,555280949323083021793,4301823225423852828395669961,374668107649632228586207,615535904155437465675411539093050031165,2596517968311567941007574770625392680,-4413812524606,-4416328948318,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0
18657191,1709137060,5116003499598214224839,4281303030061208252089593791,5113451580901737523836,10229455080499851722726,189302397858677703851059,552775624755074409751,4273990756622485911802842011,374642997148121174410442,615841694118835872781973213569631491205,2597046091759152639294521812774432484,-4415506849750,-4418027541154,1,2,18661991,18661991,153026735895441629692,1406376773228881341705,139402052401163862016,462444754191760687104,71652932143920337980332,2200063326510260659,71652932143920337980332,2200063326510260659,0.0,0.0,51848796336233146557371,8300835663875043908770,483499539674737730074,7966594924157945946,0,0,0,0,0,0,0,0,0,0,0,0,154824443346951238537862,767922896810061527423,1709137059,-245751,676303569770972940,1436745404899356766
18659591,1709166152,5116193353044877453703,4281461908008913072976058132,5113451580901737523836,10229644933946514949734,189298886385946126408339,552806397715748366088,4352942151063806837758084238,378236491391899138343522,616022686705909132787143587164482582316,2598606311461919073470325650208763324,-4417199581126,-4419718277638,1,2,18661991,18661991,153026735895441629692,1406376773228881341705,139402052401163862016,462444754191760687104,71649349765989247920922,2200173326926644509,71652932143920337980332,2200063326510260659,-4.999625031243404e-05,4.9998750062396624e-05,51848796336233146557371,8300835663875043908770,483499539674737730074,7966594924157945946,0,0,0,0,0,0,0,0,0,0,0,0,154824443346951238537862,767943415655695073126,1709166151,-1698199575,866157016434201804,1436745404899356766
18661991,1709195197,5116679271671717362162,4352385806420206858817646085,5113451580901737523836,10230130852573354853442,186223029340432314470987,561990520890160703580,4315550785008477543094264252,379438242172782790917641,616547782168995630535467818725599621580,2599682112947522932683895303872397758,-4418897623834,-4421411163406,1,2,18661991,18661991,153026735895441629692,1406376773228881341705,139402052401163862016,462444754191760687104,71699519359696869281790,2198743750404477238,71652932143920337980332,2200063326510260659,0.000650178776814947,-0.0005997900559874259,51848796336233146557371,8300835663875043908770,483499539674737730074,7966594924157945946,0,0,0,0,0,0,0,0,0,0,0,0,153290524122169317463195,772550051369261117511,1709195196,-3393379484,1352075643274110263,1436745404899356766
18664391,1709224295,5186801635520115227704,4281834878973067939575563481,5182840952754003487053,10369642588274017318023,191872818877978515237252,560420637156165508170,4379864448403358763700726843,383301696362593890022040,617281015124008228223334145479018886505,2602741427363198331194277423995465074,-4420586439658,-4423096393114,3,4,18669191,18669191,132273950304626897868,1671483692084451395949,230320345527281221632,549753483174504628224,85159759353552317689182,1901700806822987408,85159759353552317689182,1901700806822987408,0.0,0.0,61622474986735110666059,9865708373156444008323,527752906349010814935,6886201779897915461,0,0,1,1,0,0,153026735895441629692,1406376773228881341705,0,0,132376623499086447506,3054498500717990239,167461235689923850364750,814956452978172932304,1709224294,-5082152012,3433057387527278922,2892987398272711274
18666791,1709253340,5188077913704325407406,4379603468921709811058141491,5182840952754003487053,10370918866458227485245,187612611782021300922862,573287462463470533444,4413535930534076352491843460,400261157422449480983508,617648824578933987801572772891235003382,2604304555865379018397708124561565987,-4422275697274,-4424776923622,3,4,18669191,18669191,132273950304626897868,1671483692084451395949,230320345527281221632,549753483174504628224,85300381907179774568845,1898565744379986381,85159759353552317689182,1901700806822987408,0.0016512793682712523,-0.0016485571398786592,61622474986735110666059,9865708373156444008323,527752906349010814935,6886201779897915461,0,0,1,1,0,0,153026735895441629692,1406376773228881341705,0,0,132376623499086447506,3054498500717990239,165341858241748669920183,821427584686152159443,1709253339,-6777270053,4709335571737458624,2892987398272711274
18669191,1709282373,5189521662295544067096,4414326500042316050420357259,5182840952754003487053,10372362615049446130818,186162765920042315080703,577913127184004025577,4394671569614839289010287907,401027387876498439261187,618482517474527021189940061125649238316,2606686149302398822944204138380531012,-4423957617358,-4426450635970,3,4,18669191,18669191,132273950304626897868,1671483692084451395949,230320345527281221632,549753483174504628224,85313177284336952612998,1898375906789307451,85159759353552317689182,1901700806822987408,0.001801530816306185,-0.0017483823016485323,61622474986735110666059,9865708373156444008323,527752906349010814935,6886201779897915461,0,0,1,1,0,0,153026735895441629692,1406376773228881341705,0,0,132376623499086447506,3054498500717990239,164629518879071027208564,823781785043704555849,1709282372,-8458593395,6153084162956118314,2892987398272711274
18671591,1709311410,5361373217606908087545,4352465371014722275245577725,5355745383159609681890,10717118600766412975001,195084289433004774358203,588753873706150674508,4364240307668072471005706480,384729286861362736105907,618854200640107570565230313931893305582,2607426116618050530353389084522190449,-4425633948862,-4428134562718,5,6,18676391,18676391,127618952635114845799,1849972923932606056566,299691648796148498432,608480884968041873408,94253536399282113072935,1834775967854444520,94253536399282113072935,1834775967854444520,0.0,0.0,68202825292904177612185,10919239158386715689131,586656934131861876407,6643861899948830451,0,0,2,2,0,0,285300686200068527560,3077860465313332737654,0,0,463566365604091190856,10891054657963924142,176715431055182850197980,887832317781018881388,1709311409,-10135609954,9816430065380581910,4397810989015446298
18673991,1709340478,5363300237989867250537,4354029763036252352468767061,5355745383159609681890,10719045621149372119150,195049261187874195494860,589071388061348336199,4383714674446241448679417237,401812626916757418377641,619001881957767000121505213618000862491,2608122440857194712389542281969236469,-4427312226322,-4429818879262,5,6,18676391,18676391,127618952635114845799,1849972923932606056566,299691648796148498432,608480884968041873408,94300672593777976549386,1833858855022708158,94253536399282113072935,1834775967854444520,0.0005001000100004482,-0.0004998500349929769,68202825292904177612185,10919239158386715689131,586656934131861876407,6643861899948830451,0,0,2,2,0,0,285300686200068527560,3077860465313332737654,0,0,463566365604091190856,10891054657963924142,176715431055182850197980,888044080783656110788,1709340477,-11822562430,11743450448339744902,4397810989015446298
18676391,1709369487,5365308468912812819242,4384962323962515942719310726,5355745383159609681890,10721053852072317668218,193709622605967526224816,593367506232980214274,4369084937280530461658129343,401521016756101548230909,619293540523779963923714447725877485565,2608827207065463763847634913120763005,-4428993673834,-4431496774150,5,6,18676391,18676391,127618952635114845799,1849972923932606056566,299691648796148498432,608480884968041873408,94286529260820261469195,1834133940727817658,94253536399282113072935,1834775967854444520,0.00035004375218750106,-0.00034992126443511573,68202825292904177612185,10919239158386715689131,586656934131861876407,6643861899948830451,0,0,2,2,0,0,285300686200068527560,3077860465313332737654,0,0,463566365604091190856,10891054657963924142,176063269394199509577931,890249188446994181660,1709369486,-13505887142,13751681371285313607,4397810989015446298
18678791,1709398488,5585577120019860280948,4322190771539296290462840600,5579320977387598509608,11164898097407349617632,204658796354229333061192,609086693296748810188,4315925843718990554780925952,430942972445641713635911,619697368979574469916830606206735804471,2609361048619481831602381526301020756,-4430675895718,-4433179973878,7,8,18683591,18683591,128084034655906607426,2000361091587840943109,324957154763757322240,657873703884947324928,101915603476448893834933,1841462445820376177,101915603476448893834933,1841462445820376177,0.0,0.0,73747175586910772294048,11806815079237482944172,612968228299775204688,6668074140015746937,0,0,3,3,0,0,412919638835183373359,4927833389245938794220,0,0,890655974540821723019,21283443562732120873,187940728131530081984350,924350297006108669513,1709398487,-15184682894,17961327883189542502,5965453441457364379
