number,timestamp,values0,values1,values2,values3,values4,values5,univ3_sqrtPriceX96,univ3_liquidity,univ3_feeGrowthGlobal0X128,univ3_feeGrowthGlobal1X128,univ3_observation0_tick_cumulatives,univ3_observation1_tick_cumulatives,_token_ids0,_token_ids1,_blocks_settle0,_blocks_settle1,_sizes_outstanding0,_sizes_outstanding1,_margins_outstanding0,_margins_outstanding1,_debts_outstanding0,_debts_outstanding1,_debts_without_funding_outstanding0,_debts_without_funding_outstanding1,_funding_rates_outstanding0,_funding_rates_outstanding1,_amounts0_locked0,_amounts0_locked1,_amounts1_locked0,_amounts1_locked1,_positions_liquidated_cumulative0,_positions_liquidated_cumulative1,_positions_settled_cumulative0,_positions_settled_cumulative1,_sizes_liquidated_cumulative0,_sizes_liquidated_cumulative1,_sizes_settled_cumulative0,_sizes_settled_cumulative1,_net_liquidity_liquidated_cumulative0,_net_liquidity_liquidated_cumulative1,_net_liquidity_settled_cumulative0,_net_liquidity_settled_cumulative1,_balances_pool0,_balances_pool1,_last_mrglv1_block_timestamp,_last_mrglv1_tick_cumulative
17998182,1708951678,91287093017493777,1951731676501087337069330357244203,0,91287092917503083,3705687989902,2248795191617769179306,1951547887903112755178138185114353,35557827565478201638,2432047681170979467116623687169630,1175418509761771633483905936855963588514298,14529582399239,14538318510527,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
18000582,1708951682,68470009944875227,1951759732045824167944981381086721,22821893697174076,91291903542053340,3705830001157,2248946025513484902422,1953738429526773386295287468754520,35784689067328457167,2432072859465672021004592748394404,1175438491648995570934408596179200207680368,14535433055351,14544169859675,1,2,18048582,18048582,31209203960758031486,204442152227,15604601980379021312,102221076113,52152012564,128080374211468159551,52152012564,128080374211468159551,0.0,0.0,182712987841,970369487763,185412930322294155012,313339108542669691424,0,0,0,0,0,0,0,0,0,0,0,0,3932498910016,2185488219817342014327,1708951681,809627
18002982,1708980486,68470153705735785,1951763829995552921566031488714499,22821893697174076,91292047302913741,3705828056046,2248954288949844913909,1951277657221304708880965090270546,35471699263050322892,2432109667399671847133421655427789,1175455561847477943936557455531495095476882,14541284229191,14550021547607,1,2,18048582,18048582,31209203960758031486,204442152227,15604601980379021312,102221076113,52368882266,127543591511169226024,52152012564,128080374211468159551,0.004158414821170409,-0.0041909832291141536,182712987841,970369487763,185412930322294155012,313339108542669691424,0,0,0,0,0,0,0,0,0,0,0,0,3932498910016,2185495302827835828988,1708980485,5826361061
18005382,1709009290,68470457077701342,1951772477711343856147296589556825,22821893697174076,91292350674878965,3705823951396,2248971726950265948771,1950509576223118741680419798201411,42878020797588743964,2432150071796535917529411728009388,1175478404435464591422361544016424414943218,14547143071259,14555880114983,1,2,18048582,18048582,31209203960758031486,204442152227,15604601980379021312,102221076113,52597171659,126990009480538244250,52152012564,128080374211468159551,0.008535798967560737,-0.008513128866485475,182712987841,970369487763,185412930322294155012,313339108542669691424,0,0,0,0,0,0,0,0,0,0,0,0,3932498910016,2185510249829567447113,1709009289,11651912542
18007782,1709038094,68470951291750451,1951786565442320364644937238935391,22821893697174076,91292844888927533,3705817264712,2249000134808602476902,1949275990124840287647359590947252,36506654475763715330,2432207566832535920667757070400483,1175510524553137368268593215144462005870725,14553026088011,14561762213363,1,2,18048582,18048582,31209203960758031486,204442152227,15604601980379021312,102221076113,52839663828,126413546208498101566,52152012564,128080374211468159551,0.013185517302062522,-0.013013922025384095,182712987841,970369487763,185412930322294155012,313339108542669691424,0,0,0,0,0,0,0,0,0,0,0,0,3932498910016,2185534599677644601422,1709038093,17477464079
18010182,1709066898,68471713382787698,1951808289093300541809428636925278,22821893697174076,91293606979963945,3705806953859,2249043940816354357992,1950915884087124134498913661810860,43488052493924806863,2432286949209125884317894476639726,1175562039090152840881743100702664008701385,14558908764563,14567644154171,1,2,18048582,18048582,31209203960758031486,204442152227,15604601980379021312,102221076113,53072658913,125858576182583155005,52152012564,128080374211468159551,0.01765313175345251,-0.017346904571161614,182712987841,970369487763,185412930322294155012,313339108542669691424,0,0,0,0,0,0,0,0,0,0,0,0,3932498910016,2185572148127050501932,1709066897,23303015695
18012582,1709095702,68472871556125604,1951841303198095822653748298514769,22821893697174076,91294765153300583,3705791284576,2249110514962406765520,1959023978408104703130121278317270,36199580217954547596,2432383453177942490526669178831488,1175638336940999926213544767906760898983027,14564756515223,14573494006091,1,2,18048582,18048582,31209203960758031486,204442152227,15604601980379021312,102221076113,53306681383,125306042538993533416,52152012564,128080374211468159551,0.02214044601985421,-0.021660864824567416,182712987841,970369487763,185412930322294155012,313339108542669691424,0,0,0,0,0,0,0,0,0,0,0,0,3932498910016,2185629212467997553607,1709095701,29128567429
18014982,1709124506,68474564005999110,1951889547027975130247516452629863,22821893697174076,91296457603172235,3705768387854,2249207802140193904180,1951251220956502685878927661769140,45917776600899080006,2432550819763372577870347005568335,1175723119903629503668502362197129170146373,14570651213507,14579389168955,1,2,18048582,18048582,31209203960758031486,204442152227,15604601980379021312,102221076113,53539058883,124762172222522214565,52152012564,128080374211468159551,0.026596218454615572,-0.02590718530746483,182712987841,970369487763,185412930322294155012,313339108542669691424,0,0,0,0,0,0,0,0,0,0,0,0,3932498910016,2185712602875827322003,1709124505,34954148125
18017382,1709153310,68476965906873738,1951958013987615399054209078069359,22821893697174076,91298859504044232,3705735895095,2249345874262363149037,1948962465527460359254253488532541,39411706945123967656,2432691478209896335710443904936908,1175803447792519249216596654103908061766743,14576506081559,14585242632527,1,2,18048582,18048582,31209203960758031486,204442152227,15604601980379021312,102221076113,53775137932,124214451918581531373,52152012564,128080374211468159551,0.031122967038101024,-0.030183564942617758,182712987841,970369487763,185412930322294155012,313339108542669691424,0,0,0,0,0,0,0,0,0,0,0,0,3932498910016,2185830952899021823761,1709153309,40779729035
18019782,1709182114,68479988054805511,1952044161289803159252533553681317,22821893697174076,91301881651972695,3705695014912,2249519606887487767480,1955676195099516695825375303476232,32063617666421085823,2432750404438386436625915817402330,1175853653431843468567817103002989585783948,14582398733327,14591135360663,1,2,18048582,18048582,31209203960758031486,204442152227,15604601980379021312,102221076113,54012257964,123669136169851812347,52152012564,128080374211468159551,0.03566967617437844,-0.03444117077869502,182712987841,970369487763,185412930322294155012,313339108542669691424,0,0,0,0,0,0,0,0,0,0,0,0,3932498910016,2185979870553114008479,1709182113,46605338938
18022182,1709210920,68483339756197823,1952139702619746344291255220454425,22821893697174076,91305233353361335,3705649681124,2249712292064916767043,1900380430172218759817732408229809,35289008993602712715,2433656485737655046012505176910608,1176264979900256587367406814359334301203418,14588193629387,14597013511055,1,2,18048582,18048582,31209203960758031486,204442152227,15604601980379021312,102221076113,54247711254,123132370576879697352,52152012564,128080374211468159551,0.04018442600711136,-0.038632020440688475,182712987841,970369487763,185412930322294155012,313339108542669691424,0,0,0,0,0,0,0,0,0,0,0,0,3932498910016,2186145034783575072684,1709210917,52430977745
18024582,1709239727,68801064178555576,1909648695746889380807635810396665,22844240427551626,91645304505724144,3802211943599,2208940996065301353716,1911416229524741155073074053355221,37377134134273998763,2433812808103935871895623816945330,1176379063282412305136667437170734265887149,14594083810391,14602858330787,3,2,18072582,18048582,32004227832172627975,204442152227,16002113916086319104,102221076113,54125079523,122591805289854896283,54125079523,128080374211468159551,0.0,-0.04285253658418675,183513738821,970369487763,186062821812029084045,313339108542669691424,1,0,0,0,31209203960758031486,0,0,0,331954700881704,0,0,0,4008325463023,2157724656833706294452,1709239726,58257657000
18026982,1709268531,68808498250952297,1909855036547369485434743538361078,22844240427551626,91652738578112722,3802109546529,2209358879871193944625,1910699996029624680710189841275984,43654100520880292333,2433891727115083971158511583428423,1176423512936532234268651964491808383185601,14599995986423,14608714683923,3,2,18072582,18048582,32004227832172627975,204442152227,16002113916086319104,102221076113,54361024630,122059715674790757388,54125079523,128080374211468159551,0.004359256542057155,-0.04700687809310222,183513738821,970369487763,186062821812029084045,313339108542669691424,1,0,0,0,31209203960758031486,0,0,0,331954700881704,0,0,0,4008325463023,2158083045396110644488,1709268530,64070652134
18029382,1709297335,68816229802448024,1910069634205213808437232960290622,22844240427551626,91660470129599980,3802003075444,2209793526638986732116,1919357089877315539510721050208373,36116835239620941289,2434109417007456045600487269000966,1176569625813588234792624494079484937120671,14605873616159,14614594334915,3,2,18072582,18048582,32004227832172627975,204442152227,16002113916086319104,102221076113,54600728114,121523859466315404332,54125079523,128080374211468159551,0.00878795181811931,-0.05119062764703952,183513738821,970369487763,186062821812029084045,313339108542669691424,1,0,0,0,31209203960758031486,0,0,0,331954700881704,0,0,0,4008325463023,2158455816180696306274,1709297334,69883704973
18031782,1709326139,68824884335314500,1910309850219284064277838898550579,22844240427551626,91669124662456977,3801883922371,2210280110587480618591,1921561193863264992502024577547255,35484310439764882948,2434164327105187780509739253157940,1176606605238340606838868795523827589565283,14611754440619,14620477486871,3,2,18072582,18048582,32004227832172627975,204442152227,16002113916086319104,102221076113,54838746696,120990355728305627536,54125079523,128080374211468159551,0.013185517310819517,-0.05535601005862534,183513738821,970369487763,186062821812029084045,313339108542669691424,1,0,0,0,31209203960758031486,0,0,0,331954700881704,0,0,0,4008325463023,2158873137481116648598,1709326138,75696815725
18034182,1709354944,68833965996696302,1921545262459683225960694250920032,22844240427551626,91678206323828831,3780028486210,2223500046471958834563,1918261427830299335915561488699614,44520833798337280934,2434200176265723083779184086033073,1176620563665607578484609916162983894254069,14617591570559,14626314481487,3,2,18072582,18048582,32004227832172627975,204442152227,16002113916086319104,102221076113,55080556683,120465216942285360314,54125079523,128080374211468159551,0.0176531317537183,-0.05945608229259025,183513738821,970369487763,186062821812029084045,313339108542669691424,1,0,0,0,31209203960758031486,0,0,0,331954700881704,0,0,0,3992009785994,2168853512466667518597,1709354943,81510185983
18036582,1709383748,68842903699712232,1921794764295569831606734117865628,22844240427551626,91687144026834971,3779906201424,2224005552473355802868,1949295188104378807983387182289051,31602028393861013776,2434728698942268705464239453279123,1177003794961218425054424152715416643016179,14623440953279,14632166171795,3,2,18072582,18048582,32004227832172627975,204442152227,16002113916086319104,102221076113,55323432925,119936360766871656964,54125079523,128080374211468159551,0.022140446029105032,-0.06358517840641431,183513738821,970369487763,186062821812029084045,313339108542669691424,1,0,0,0,31209203960758031486,0,0,0,331954700881704,0,0,0,3992009785994,2169287078393962595031,1709383747,87326753308
18038982,1709412553,68854582431769498,1949248823699989270805904908962464,22844240427551626,91698822758879445,3727143063304,2256064216625474576962,1950990374922879494728883467666147,34091642312945086769,2434913921098100088569874368588466,1177119819389109016393274524967078460582955,14629236302015,14638051306607,3,2,18072582,18048582,32004227832172627975,204442152227,16002113916086319104,102221076113,55564601962,119409826330972250162,54125079523,128080374211468159551,0.026596218457070053,-0.06769614731278295,183513738821,970369487763,186062821812029084045,313339108542669691424,1,0,0,0,31209203960758031486,0,0,0,331954700881704,0,0,0,3952511077701,2193429780455558218565,1709412552,93143580953
18041382,1709441359,69139674547596368,1954853569510416952269487931039420,22866814284016407,92006488730834096,3728926378541,2270142424181665282916,1955460166562215382276318545353693,32377286641474396546,2435056990054139603654013004047159,1177216484288570190073845356746536550414285,14635180337267,14643917539271,4,2,18089382,18048582,32886273749573519580,204442152227,16443136874786764800,102221076113,53075277870,118891547573455815307,53075277870,128080374211468159551,0.0,-0.07174265920585976,179983179361,970369487763,191210917004902834983,313339108542669691424,2,0,0,0,63213431792930659461,0,0,0,627223840894471,0,0,0,3952511077701,2210483058638215814165,1709441358,98968792033
18043782,1709470164,69151964399072349,1955201052488660296421393038548600,22866814284016407,92018778582296616,3728761671134,2270849241271185301010,1971661179821799808285366007285741,31120592858094836159,2435522330715508264711372402930000,1177538482526217025966123538311456134785962,14640990296339,14649791412707,4,2,18089382,18048582,32886273749573519580,204442152227,16443136874786764800,102221076113,53306646622,118369599987798469732,53075277870,128080374211468159551,0.004359256536851319,-0.07581781583208558,179983179361,970369487763,191210917004902834983,313339108542669691424,2,0,0,0,63213431792930659461,0,0,0,627223840894471,0,0,0,3952511077701,2211089585270190798368,1709470162,104795240263
18046182,1709498970,69166265371432799,1971633287052119544854826885613397,22866814284016407,92033079554641401,3698259626436,2290290187244685516464,1962246624538905517044494246418327,32006719105980020535,2435666444783221764603291754412383,1177606892608640211754689211073045196549780,14646849878159,14655682913291,4,2,18089382,18048582,32886273749573519580,204442152227,16443136874786764800,102221076113,53541700855,117849943812150782032,53075277870,128080374211468159551,0.008787951824622331,-0.07987508205141824,179983179361,970369487763,191210917004902834983,313339108542669691424,2,0,0,0,63213431792930659461,0,0,0,627223840894471,0,0,0,3929731646648,2225787863454579598757,1709498968,110622208896
18048582,1709527777,69472892161147242,1962291617110814727145004543685535,22889008743383102,92361900803362367,3729141796849,2287582823269790503461,1959218161035622909853288410513706,35092434065996573243,2435714146075840595481913155913471,1177629610219335874666075702990947488449215,14652834513947,14661575992871,5,2,18096582,18048582,33421039057570536424,204442152227,16710519528785276928,102221076113,52616335918,117338435468749895576,52616335918,128080374211468159551,0.0,-0.08386873327667432,178454712218,970369487763,194340148478301447154,313339108542669691424,3,0,0,0,96099705542504179041,0,0,0,940796062883132,0,0,0,3953814825480,2228356218066466204292,1709527776,116454393634
18050982,1709556584,69113811893961855,1959530554281730836851537213377119,23052899298027291,92166711091034969,3726504365430,2279536477171533847150,1960277478785809748060054887902278,35721039670394774579,2435783760885153949045185118960775,1177674409295282133659626639094275496959958,14658720548663,14667461149175,5,6,18096582,18098982,33421039057570536424,201333979261,16710519528785276928,100666989630,52845704024,132578426501750311582,52616335918,132578426501750311582,0.00435925653123137,0.0,178454712218,955567685324,194340148478301447154,324314765019592551287,3,0,0,1,96099705542504179041,0,0,204442152227,940796062883132,0,0,-214598329016659,3928446964570,2228029734663478497298,1709556583,122283640229
18053382,1709585388,69128498468552143,1959946951393375626548733017870252,23052899298027291,92181397665609170,3726306342041,2280384191635934449565,1959906355256330374779372053690728,35846520676321246393,2435822959112577992109804679501863,1177697582689157293127450712663887191199905,14664596191991,14673336717431,5,6,18096582,18098982,33421039057570536424,201333979261,16710519528785276928,100666989630,53078725743,132002991595996758732,52616335918,132578426501750311582,0.008787951820145912,-0.004340335912388804,178454712218,955567685324,194340148478301447154,324314765019592551287,3,0,0,1,96099705542504179041,0,0,204442152227,940796062883132,0,0,-214598329016659,3928446964570,2228756290687438999014,1709585387,128111471914
18055782,1709614192,69143303350656009,1960366702786622086163019589422396,23052899298027291,92196202547696819,3726106808620,2281238891099305985660,1960127099395909459248832928294702,40617307184959131976,2435845946182011598417072419324752,1177712118454263713412146698920694792252144,14670466859675,14679207497927,5,6,18096582,18098982,33421039057570536424,201333979261,16710519528785276928,100666989630,53310109526,131423483261137973846,52616335918,132578426501750311582,0.013185517309324046,-0.008711396500071578,178454712218,955567685324,194340148478301447154,324314765019592551287,3,0,0,1,96099705542504179041,0,0,204442152227,940796062883132,0,0,-214598329016659,3928446964570,2229488855720104793127,1709614191,133939447661
18058182,1709642996,69158182674151263,1960788564759171447385722713280024,23052899298027291,92211081871175776,3725906357987,2282098046190590200187,1957964641299586416634658460711309,48081959575033733545,2435958035206154798052107600849651,1177776048628111203916406643435643357017166,14676342420683,14685083248883,5,6,18096582,18098982,33421039057570536424,201333979261,16710519528785276928,100666989630,53545179028,130853061197008421485,52616335918,132578426501750311582,0.017653131746907524,-0.013013922025384095,178454712218,955567685324,194340148478301447154,324314765019592551287,3,0,0,1,96099705542504179041,0,0,204442152227,940796062883132,0,0,-214598329016659,3928446964570,2230225262268602414383,1709642995,139767538650
18060582,1709671800,69173382673577977,1961219518608850704292848372453882,23052899298027291,92226281870585840,3725701676328,2282975881218365975432,1957551185410301978959774156212897,33869015883751819367,2436041417761801011132679783769562,1177826037536316949968220874507124644993155,14682218142803,14690958511691,5,6,18096582,18098982,33421039057570536424,201333979261,16710519528785276928,100666989630,53781285063,130278601189029687696,52616335918,132578426501750311582,0.022140446016908344,-0.017346904571161614,178454712218,955567685324,194340148478301447154,324314765019592551287,3,0,0,1,96099705542504179041,0,0,204442152227,940796062883132,0,0,-214598329016659,3928446964570,2230977703303796570337,1709671799,145595744973
18062982,1709700604,69188831954559855,1961657540146023629893190842383761,23052899298027291,92241731151550796,3725493730025,2283868282278843787134,1961128487444749736049173728563037,39661771566215961705,2436107856803774561790937358081354,1177874250254267685456144951633012828031502,14688079060763,14696819106419,5,6,18096582,18098982,33421039057570536424,201333979261,16710519528785276928,100666989630,54015731483,129706663126642047739,52616335918,132578426501750311582,0.026596218466844457,-0.021660864824567416,178454712218,955567685324,194340148478301447154,324314765019592551287,3,0,0,1,96099705542504179041,0,0,204442152227,940796062883132,0,0,-214598329016659,3928446964570,2231742653897307521266,1709700603,151424095407
18065382,1709729408,69204523285043963,1962102424325876372819248299848702,23052899298027291,92257422482017717,3725282620790,2284774839772824133097,1961862061561546414259513778348836,44042404883993870954,2436215750747059469446424531105479,1177942089790514115900125136334325582213913,14693934866591,14702676145883,5,6,18096582,18098982,33421039057570536424,201333979261,16710519528785276928,100666989630,54253912406,129143692638597360306,52616335918,132578426501750311582,0.031122967029708848,-0.02590718530746483,178454712218,955567685324,194340148478301447154,324314765019592551287,3,0,0,1,96099705542504179041,0,0,204442152227,940796062883132,0,0,-214598329016659,3928446964570,2232519764111516498983,1709729407,157252561146
18067782,1709758212,69220546926120771,1962556730251427445710576500019146,23052899298027291,92273446123076973,3725067139462,2285700778176361101358,1969294871709838707228993904255816,37818920991207977740,2436377814131015102939511557517335,1178058075231853055035654649753820692280557,14699791309991,14708534343155,5,6,18096582,18098982,33421039057570536424,201333979261,16710519528785276928,100666989630,54493143582,128576736955444661727,52616335918,132578426501750311582,0.03566967618050998,-0.030183564942617758,178454712218,955567685324,194340148478301447154,324314765019592551287,3,0,0,1,96099705542504179041,0,0,204442152227,940796062883132,0,0,-214598329016659,3928446964570,2233313513804126565390,1709758211,163081171028
18070182,1709787016,69237136544105925,1963027082883339086019710351460687,23052899298027291,92290035741043956,3724844152123,2286659615604778612429,1960430392211222704983180819938782,41302829878362498584,2436478574969711424737399081794119,1178100987871566279516381980007518227345287,14705653638383,14714396960939,5,6,18096582,18098982,33421039057570536424,201333979261,16710519528785276928,100666989630,54730693175,128012270273032856274,52616335918,132578426501750311582,0.04018442599832728,-0.03444117077869502,178454712218,955567685324,194340148478301447154,324314765019592551287,3,0,0,1,96099705542504179041,0,0,204442152227,940796062883132,0,0,-214598329016659,3928446964570,2234135493435635582362,1709787015,168909896339
18072582,1709815820,69253917734685676,1963502867025135491416853836733158,23052899298027291,92306816931605326,3724618698475,2287629725838206269390,1961547246766267316897649467404182,47606060173498191096,2436670883174309478438380579785573,1178220809704206100459449642510198315087227,14711541250079,14720282373755,5,6,18096582,18098982,33421039057570536424,201333979261,16710519528785276928,100666989630,54972026703,127456654019140383843,52616335918,132578426501750311582,0.04477109140916302,-0.038632020440688475,178454712218,955567685324,194340148478301447154,324314765019592551287,3,0,0,1,96099705542504179041,0,0,204442152227,940796062883132,0,0,-214598329016659,3928446964570,2234967165473904271807,1709815819,174738765741
18074982,1709844624,69271261503406551,1963994601510669192658353359918485,23052899298027291,92324160700307203,3724385801432,2288632570164188810168,1960957908446189775933579067234152,48936357017306839379,2436716406155477318723399069859042,1178247429826058087633509099179491439933426,14717412617975,14726153544107,5,6,18096582,18098982,33421039057570536424,201333979261,16710519528785276928,100666989630,55211663870,126897104629810147578,52616335918,132578426501750311582,0.049325516623671684,-0.04285253658418675,178454712218,955567685324,194340148478301447154,324314765019592551287,3,0,0,1,96099705542504179041,0,0,204442152227,940796062883132,0,0,-214598329016659,3928446964570,2235826930557233691498,1709844623,180567779377
18077382,1709873428,69288727927948669,1964489813562014991361842329386618,23052899298027291,92341627124830190,3724151375166,2289642724224615579009,1961016371735358346718930820950043,52362828536071288352,2436747820126487271883026107515221,1178266819867094267999389449366135387388781,14723322524927,14732063879579,5,6,18096582,18098982,33421039057570536424,201333979261,16710519528785276928,100666989630,55455118226,126346328569407216883,52616335918,132578426501750311582,0.05395248944023967,-0.04700687809310222,178454712218,955567685324,194340148478301447154,324314765019592551287,3,0,0,1,96099705542504179041,0,0,204442152227,940796062883132,0,0,-214598329016659,3928446964570,2236692993512920749614,1709873427,186396937078
18079782,1709902232,69306284451566984,1964987580122913691803201711947839,23052899298027291,92359183648429274,3723915858707,2290658309118049970171,1962887821331657537879382921265949,45540290828781795201,2437010998707875443819464315691810,1178432034703198522043282161018629782398501,14729198641079,14737940748779,5,6,18096582,18098982,33421039057570536424,201333979261,16710519528785276928,100666989630,55699646087,125791653636668809199,52616335918,132578426501750311582,0.05859986476073109,-0.05119062764703952,178454712218,955567685324,194340148478301447154,324314765019592551287,3,0,0,1,96099705542504179041,0,0,204442152227,940796062883132,0,0,-214598329016659,3928446964570,2237563744019818420394,1709902231,192226238832
18082182,1709931036,69324591812372217,1965506634590943228759043436164636,23052899298027291,92377491009214454,3723670397002,2291717562335064684721,1957947644819110060209204989086060,50167263892306890926,2437083925861758532535024258093443,1178466070679339429800763928861492126276723,14735058261671,14743799704631,5,6,18096582,18098982,33421039057570536424,201333979261,16710519528785276928,100666989630,55942455134,125239413790762697907,52616335918,132578426501750311582,0.06321457315430701,-0.05535601005862534,178454712218,955567685324,194340148478301447154,324314765019592551287,3,0,0,1,96099705542504179041,0,0,204442152227,940796062883132,0,0,-214598329016659,3928446964570,2238471968740020609169,1709931035,198055684897
18084582,1709959840,69343040756103600,1966029703250378981252146484730511,23052899298027291,92395939952925629,3723423168096,2292785250124728651177,1964193465543364503808603878421031,43515194805737464142,2437106752617892053377165642652587,1178493470948093881735601022881264757006053,14740937131847,14749677965927,5,6,18096582,18098982,33421039057570536424,201333979261,16710519528785276928,100666989630,56189131893,124695832665440122867,52616335918,132578426501750311582,0.06790278936503724,-0.05945608229259025,178454712218,955567685324,194340148478301447154,324314765019592551287,3,0,0,1,96099705542504179041,0,0,204442152227,940796062883132,0,0,-214598329016659,3928446964570,2239387460029644697434,1709959839,203885275036
18086982,1709988644,69361625779669002,1966556630076298025533858042199213,23052899298027291,92414524976470675,3723174248600,2293861059507844034154,1958763387929862722278784666110267,39320341680398733044,2437224320113378255001271932655528,1178553888112918518831507041242067706033639,14746802900447,14755544416043,5,6,18096582,18098982,33421039057570536424,201333979261,16710519528785276928,100666989630,56436896368,124148403599794838112,52616335918,132578426501750311582,0.07261167816691305,-0.06358517840641431,178454712218,955567685324,194340148478301447154,324314765019592551287,3,0,0,1,96099705542504179041,0,0,204442152227,940796062883132,0,0,-214598329016659,3928446964570,2240309950307829525110,1709988643,209715038050
