number,timestamp,values0,values1,values2,values3,values4,values5,univ3_sqrtPriceX96,univ3_liquidity,univ3_feeGrowthGlobal0X128,univ3_feeGrowthGlobal1X128,univ3_observation0_tick_cumulatives,univ3_observation1_tick_cumulatives,_token_ids0,_token_ids1,_blocks_settle0,_blocks_settle1,_sizes_outstanding0,_sizes_outstanding1,_margins_outstanding0,_margins_outstanding1,_debts_outstanding0,_debts_outstanding1,_debts_without_funding_outstanding0,_debts_without_funding_outstanding1,_funding_rates_outstanding0,_funding_rates_outstanding1,_amounts0_locked0,_amounts0_locked1,_amounts1_locked0,_amounts1_locked1,_positions_liquidated_cumulative0,_positions_liquidated_cumulative1,_positions_settled_cumulative0,_positions_settled_cumulative1,_sizes_liquidated_cumulative0,_sizes_liquidated_cumulative1,_sizes_settled_cumulative0,_sizes_settled_cumulative1,_net_liquidity_liquidated_cumulative0,_net_liquidity_liquidated_cumulative1,_net_liquidity_settled_cumulative0,_net_liquidity_settled_cumulative1,_balances_pool0,_balances_pool1,_last_mrglv1_block_timestamp,_last_mrglv1_tick_cumulative,_net_liquidity_swap_fees_cumulative,_net_liquidity_position_fees_cumulative
18654791,1709134588,10226805916623846957721,4301821082038118709878106627,0,10226805916623746957676,188350706761664106204597,555280949323083021793,4301823225423852828395669961,374668107649632228586207,615535904155437465675411539093050031165,2596517968311567941007574770625392680,-4413812524606,-4416328948318,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0
18657191,1709134592,7670479728875888434058,4300556351110149582183592726,2556722172638830439219,10227201901514618869360,188413393097436435367914,555139191619214946120,4273990756622485911802842011,374642997148121174410442,615841694118835872781973213569631491205,2597046091759152639294521812774432484,-4415506849750,-4418027541154,1,2,18657191,18657191,22978228196188143387,4467534252808450266274,9191291278475257856,1787013701123380084736,8130646996732326807473,12439174975467318564,8130646996732326807473,12439174975467318564,0.0,0.0,22569564528017397071970,24178210535616885377793,115341819650741556633,38848683828974702562,0,0,0,0,0,0,0,0,0,0,0,0,188059262440115759055414,570549147517936632853,1709134591,-234220,55765272016978616,327866112482406281
18659591,1709163690,7671711446767263664741,4272720722418568836120968319,2557027896500554907002,10228739343267718552793,189669364241933384340474,551628930537540391455,4352942151063806837758084238,378236491391899138343522,616022686705909132787143587164482582316,2598606311461919073470325650208763324,-4417199581126,-4419718277638,3,4,18659591,18659591,22689631927697200366,4525440246174562576976,9075852771078879232,1810176098469824954368,8236032465407587158452,12282944501543248532,8236032465407587158452,12282944501543248532,0.0,0.0,22862100181888178897656,24491596672052159755890,113893177985772724105,38360761736239681169,0,0,1,1,0,0,22978228196188143387,4467534252808450266274,0,0,743206595551196447,60475184158592365,189608630128157568303389,565984101255376756710,1709163689,-1695922750,449264944284310358,655771430043498505
18661991,1709192740,7675237589678056293569,4348843141727955076388363787,2558062680442807115821,10233300270120763345842,186432471909356115911349,561707053207817772657,4315550785008477543094264252,379438242172782790917641,616547782168995630535467818725599621580,2599682112947522932683895303872397758,-4418897623834,-4421411163406,5,6,18661991,18661991,22929695997180388301,4481685947652652991534,9171878398872155136,1792674379061061222400,8156402240827279222367,12412902257212155671,8156402240827279222367,12412902257212155671,0.0,0.0,22641057564644061664014,24254799239366346410005,115098206779574447060,38766631721271767228,0,0,2,2,0,0,45667860123885343753,8992974498983012843250,0,0,3878136528662953701,284750793353418399,186724990960590975063150,575159530864745553238,1709192739,-3392586956,1310588256577142051,983809445085308752
18664391,1709221838,7677683604086424882291,4314156322973363454242616175,2558739403939751874331,10236423008026076662539,187988780407865617192451,557396860450408886381,4379864448403358763700726843,383301696362593890022040,617281015124008228223334145479018886505,2602741427363198331194277423995465074,-4420586439658,-4423096393114,7,8,18664391,18664391,22855688409013291218,4498577027965792728507,9142275363605317632,1799430811186316967936,8187143003773478234487,12372838535550810041,8187143003773478234487,12372838535550810041,0.0,0.0,22726389720035085567316,24346213445251478626395,114726717306396889312,38641509045619787815,0,0,3,3,0,0,68597556121065732054,13474660446635665834784,0,0,5285866882556426717,422726087914254324,188070916341481990968451,571435820187667154076,1709221837,-5081784812,2547132464295119100,1311934241047276592
18666791,1709250888,7682117212585946160672,4376116317470226759070420766,2559969247861603069987,10242086460447449081198,185429643936560591413970,565715021807244489797,4413535930534076352491843460,400261157422449480983508,617648824578933987801572772891235003382,2604304555865379018397708124561565987,-4422275697274,-4424776923622,9,10,18666791,18666791,23092666754381899810,4456693441214548399813,9237066701752760320,1782677376485819416576,8110917363507301197831,12501125846403002371,8110917363507301197831,12501125846403002371,0.0,0.0,22514797763408706801548,24119540269142804222130,115916256958421539042,39042162078348656406,0,0,4,4,0,0,91453244530079023272,17973237474601458563291,0,0,8377938613797338266,645241809372911330,185716571414371949765016,579275195040046254034,1709250887,-6772839206,4555345730132079601,1640216748373241425
18669191,1709279926,7686434823401146160755,4410517889311154608760877705,2561306438191169415720,10247741261592215371720,184084892172235655233192,570477021364051572203,4394671569614839289010287907,401027387876498439261187,618482517474527021189940061125649238316,2606686149302398822944204138380531012,-4423957617358,-4426450635970,11,12,18669191,18669191,23297943219330292720,4422041899837404900584,9319177287732117504,1768816759934961844224,8047853616284086196008,12612251466883245802,8047853616284086196008,12612251466883245802,0.0,0.0,22339741422516661697024,23932006785258826588046,116946665430148168172,39389217578721480483,0,0,5,5,0,0,114545911284460923082,22429930915816006963104,0,0,11138801345091960952,908764454488377900,184346714147623204412449,584228657721792892293,1709279925,-8454918990,6844931857513812884,1968670732836081181
18671591,1709308963,7690514517835607255064,4392859794422652396118943305,2562513164250978725654,10253027682086485724271,184920207216939487315368,568486149954962359830,4364240307668072471005706480,384729286861362736105907,618854200640107570565230313931893305582,2607426116618050530353389084522190449,-4425633948862,-4428134562718,13,14,18671591,18671591,23347981165888011561,4416723677635064283843,9339192466355204096,1766689471054025850880,8038174767744697481001,12639339315751776084,8038174767744697481001,12639339315751776084,0.0,0.0,22312874262159746159316,23903224667695299676436,117197836571729523025,39473815414058289918,0,0,6,6,0,0,137843854503791215802,26851972815653411863688,0,0,13289935782746749707,986064013480466414,184919668484018089360037,583077502528407079183,1709308962,-10132381145,9561928136731086041,2297279464101932935
18673991,1709338037,7693913665014533045862,4362877054799450671595414285,2563590042780525531565,10257503707794958277212,186272306220007557085626,564852523977211582308,4383714674446241448679417237,401812626916757418377641,619001881957767000121505213618000862491,2608122440857194712389542281969236469,-4427312226322,-4429818879262,15,16,18673991,18673991,23186455013312347682,4451231189204257679706,9274582005324939264,1780492475681702936576,8100976389271915260941,12551897757688741985,8100976389271915260941,12551897757688741985,0.0,0.0,22487202977954732695546,24089978664993856757508,116387037749462163598,39200727411887465534,0,0,7,7,0,0,161191835669679227363,31268696493288476147531,0,0,14444144778026445811,1056783623266386459,186295682660967998780031,579270434624449958192,1709338036,-11814306596,12471891722938226162,2626026290927785099
18676391,1709367050,7697750934076110178396,4381332232353444958082397475,2564824984890579078849,10262575918966588907433,185579405898216869160188,567522371260942232898,4369084937280530461658129343,401521016756101548230909,619293540523779963923714447725877485565,2608827207065463763847634913120763005,-4428993673834,-4431496774150,17,18,18676391,18676391,23147233917192314044,4463070265138597729701,9258893566876925952,1785228106055439089664,8122522804305923950681,12530665568975082600,8122522804305923950681,12530665568975082600,0.0,0.0,22547012880494205355865,24154051519120866988055,116190163014101472694,39134417340040986561,0,0,8,8,0,0,184378290682991575045,35719927682492733827237,0,0,16036716541751061029,1177407366603773642,185900428806571748232583,581011649368577267916,1709367049,-13496676836,15489609538203056306,2954931482893470864
18678791,1709396051,7702088108142283526309,4367197856130221108528211186,2566238733184142904375,10268326841326326024638,186284362315350659997976,566008519501017072208,4315925843718990554780925952,430942972445641713635911,619697368979574469916830606206735804471,2609361048619481831602381526301020756,-4430675895718,-4433179973878,19,20,18678791,18678791,23220421666368263311,4453909239170952423227,9288168666547304448,1781563695668380827648,8105850281152010656357,12570285473968954314,8105850281152010656357,12570285473968954314,0.0,0.0,22500732235507620297486,24104472220556178078699,116557537212582854637,39258153935552879482,0,0,9,9,0,0,207525524600183889089,40182997947631331556938,0,0,18192569939793993464,1317485708128754630,186333769186537962792175,580368547180220107554,1709396050,-15175914839,18603114183463450221,3284017969548852759
