number,values0,values1,values2,values3,univ3_sqrtPriceX96,univ3_liquidity,univ3_feeGrowthGlobal0X128,univ3_feeGrowthGlobal1X128,univ3_observation0_tick_cumulatives,univ3_observation1_tick_cumulatives,_token_ids0,_token_ids1,_positions_liquidated_cumulative0,_positions_liquidated_cumulative1,_positions_settled_cumulative0,_positions_settled_cumulative1,_sizes_liquidated_cumulative0,_sizes_liquidated_cumulative1,_sizes_settled_cumulative0,_sizes_settled_cumulative1,_net_liquidity_liquidated_cumulative0,_net_liquidity_liquidated_cumulative1,_net_liquidity_settled_cumulative0,_net_liquidity_settled_cumulative1
17998182,91287092917503083,1951731676501087337069330357244203,3705687989902,2248795191617769179306,1951547887903112755178138185114353,35557827565478201638,2432047681170979467116623687169630,1175418509761771633483905936855963588514298,14529582399239,14538318510527,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
18000582,91291903542053340,1951759732045824167944981381086721,3705830001157,2248946025513484902422,1953738429526773386295287468754520,35784689067328457167,2432072859465672021004592748394404,1175438491648995570934408596179200207680368,14535433055351,14544169859675,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18002982,91292047302913741,1951763829995552921566031488714499,3705828056046,2248954288949844913909,1951277657221304708880965090270546,35471699263050322892,2432109667399671847133421655427789,1175455561847477943936557455531495095476882,14541284229191,14550021547607,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18005382,91292350674878965,1951772477711343856147296589556825,3705823951396,2248971726950265948771,1950509576223118741680419798201411,42878020797588743964,2432150071796535917529411728009388,1175478404435464591422361544016424414943218,14547143071259,14555880114983,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18007782,91292844888927533,1951786565442320364644937238935391,3705817264712,2249000134808602476902,1949275990124840287647359590947252,36506654475763715330,2432207566832535920667757070400483,1175510524553137368268593215144462005870725,14553026088011,14561762213363,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18010182,91293606979963945,1951808289093300541809428636925278,3705806953859,2249043940816354357992,1950915884087124134498913661810860,43488052493924806863,2432286949209125884317894476639726,1175562039090152840881743100702664008701385,14558908764563,14567644154171,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18012582,91294765153300583,1951841303198095822653748298514769,3705791284576,2249110514962406765520,1959023978408104703130121278317270,36199580217954547596,2432383453177942490526669178831488,1175638336940999926213544767906760898983027,14564756515223,14573494006091,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18014982,91296582178569565,1959014023384321282428807671290926,3692296412123,2257420582519205568860,1951251220956502685878927661769140,45917776600899080006,2432550819763372577870347005568335,1175723119903629503668502362197129170146373,14570651213507,14579389168955,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18017382,91299112316945770,1951266730025164206260195136667496,3707059007746,2248555497078615337075,1948962465527460359254253488532541,39411706945123967656,2432691478209896335710443904936908,1175803447792519249216596654103908061766743,14576506081559,14585242632527,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18019782,91302135499480466,1951352875981666124053002911123117,3707018099231,2248729227540804684834,1955676195099516695825375303476232,32063617666421085823,2432750404438386436625915817402330,1175853653431843468567817103002989585783948,14582398733327,14591135360663,1,2,0,0,0,0,0,0,0,0,0,0,0,0
