number,values0,values1,values2,values3,values4,values5,univ3_sqrtPriceX96,univ3_liquidity,univ3_feeGrowthGlobal0X128,univ3_feeGrowthGlobal1X128,univ3_observation0_tick_cumulatives,univ3_observation1_tick_cumulatives,_token_ids0,_token_ids1,_positions_liquidated_cumulative0,_positions_liquidated_cumulative1,_positions_settled_cumulative0,_positions_settled_cumulative1,_sizes_liquidated_cumulative0,_sizes_liquidated_cumulative1,_sizes_settled_cumulative0,_sizes_settled_cumulative1,_net_liquidity_liquidated_cumulative0,_net_liquidity_liquidated_cumulative1,_net_liquidity_settled_cumulative0,_net_liquidity_settled_cumulative1
17998182,91287093017493777,1951731676501087337069330357244203,0,91287092917503083,3705687989902,2248795191617769179306,1951547887903112755178138185114353,35557827565478201638,2432047681170979467116623687169630,1175418509761771633483905936855963588514298,14529582399239,14538318510527,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
18000582,68469604669127893,1951443032806769693274515711467642,22821932812813057,91291537381945388,3706416553431,2248572085035314359397,1953738429526773386295287468754520,35784689067328457167,2432072859465672021004592748394404,1175438491648995570934408596179200207680368,14535433055351,14544169859675,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18002982,68469748452427048,1951447130755322571491327181225572,22821932812813057,91291681165244386,3706414607686,2248580348429403130302,1951277657221304708880965090270546,35471699263050322892,2432109667399671847133421655427789,1175455561847477943936557455531495095476882,14541284229191,14550021547607,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18005382,68470051871614788,1951455778464956596664103345339641,22821932812813057,91291984584431793,3706410501699,2248597786333217103394,1950509576223118741680419798201411,42878020797588743964,2432150071796535917529411728009388,1175478404435464591422361544016424414943218,14547143071259,14555880114983,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18007782,68470546162375146,1951469866179719119561626551535283,22821932812813057,91292478875191610,3706403812841,2248626194021726083371,1949275990124840287647359590947252,36506654475763715330,2432207566832535920667757070400483,1175510524553137368268593215144462005870725,14553026088011,14561762213363,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18010182,68471308371206290,1951491589791535888295533889556847,22821932812813057,91293241084021919,3706393498642,2248669999739096636050,1950915884087124134498913661810860,43488052493924806863,2432286949209125884317894476639726,1175562039090152840881743100702664008701385,14558908764563,14567644154171,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18012582,68472466722466937,1951524603805682106067259711678993,22821932812813057,91294399435281297,3706377824289,2248736573381192371951,1959023978408104703130121278317270,36199580217954547596,2432383453177942490526669178831488,1175638336940999926213544767906760898983027,14564756515223,14573494006091,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18014982,68474289534779010,1959013579272796016841412157126330,22821932812813057,91296222247591374,3692282692525,2257411171023159504174,1951251220956502685878927661769140,45917776600899080006,2432550819763372577870347005568335,1175723119903629503668502362197129170146373,14570651213507,14579389168955,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18017382,68476819651218886,1951266729081619026217761822553651,22821932812813057,91298752364028478,3707044394208,2248546630909388470982,1948962465527460359254253488532541,39411706945123967656,2432691478209896335710443904936908,1175803447792519249216596654103908061766743,14576506081559,14585242632527,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18019782,68479842816138052,1951352875038065914678133569760913,22821932812813057,91301775528944333,3707003485623,2248720360546152375242,1955676195099516695825375303476232,32063617666421085823,2432750404438386436625915817402330,1175853653431843468567817103002989585783948,14582398733327,14591135360663,1,2,0,0,0,0,0,0,0,0,0,0,0,0
18022182,68483195639719545,1951448414713190577294817234738065,22821932812813057,91305128352522154,3706958120418,2248913042084429165854,1900380430172218759817732408229809,35289008993602712715,2433656485737655046012505176910608,1176264979900256587367406814359334301203418,14588193629387,14597013511055,1,2,0,0,0,0,0,0,0,0,0,0,0,0
